H1_dB,H2_dB,H3_dB,U1_dB,U2_dB,U3_dB,Unsafe_1s
-86.22778035,-86.81083019,-86.91738033,-86.29752226,-86.73277044,-86.78804706,0
-85.94191246,-86.76265419,-86.83069521,-86.57701217,-86.73183025,-86.8360003,0
-85.7576676,-86.67629999,-86.75072985,-86.37894025,-86.70018776,-86.83276885,0
-85.36740812,-86.7969909,-86.78790851,-86.29135766,-86.68415886,-86.83608873,0
-84.65146566,-86.70772174,-86.82193828,-86.37390664,-86.72968525,-86.87663335,0
-83.91700108,-86.78539523,-86.76405834,-86.28906948,-86.83501237,-86.79961428,0
-82.78996327,-86.65491125,-86.53910696,-85.85308811,-86.74395059,-86.74238667,0
-82.26709115,-86.70908112,-86.6002175,-85.80940718,-86.71162614,-86.86554912,0
-81.73326453,-86.5797139,-86.66085276,-85.01963733,-86.70494283,-86.82534924,0
-81.09870004,-86.43657948,-86.60479635,-85.3188758,-86.79839098,-86.89351782,0
-80.98246323,-86.32148215,-86.56132104,-85.50334324,-86.69736363,-86.86855185,0
-80.38615421,-86.10627799,-86.62682249,-84.93888261,-86.70328862,-86.84036979,0
-80.22812856,-85.83721101,-86.6079698,-84.62696461,-86.72889284,-86.83937388,0
-79.70236822,-85.39791578,-86.52394997,-84.08260309,-86.60841495,-86.8707037,0
-78.93647404,-85.11199221,-86.55873638,-83.13731168,-86.62555512,-86.83011747,0
-78.92339586,-84.42930135,-86.61184075,-81.87601388,-86.69224718,-86.69232733,0
-77.22472321,-83.82234984,-86.21287056,-81.05383588,-86.66810382,-86.7970504,0
-76.33386871,-83.11825403,-86.1962289,-81.06527325,-86.66970527,-86.75894186,0
-75.53377437,-82.27038851,-85.93320527,-79.34982859,-86.62318499,-86.77726028,0
-73.93055415,-81.30315403,-85.2517634,-77.32784244,-86.62085734,-86.79991797,0
-73.62985103,-80.3679939,-84.72482993,-76.60448668,-86.66410279,-86.7504743,0
-72.54805057,-79.06680105,-84.30502607,-76.62919523,-86.68847307,-86.66406163,0
-71.07758255,-77.92678192,-83.64839521,-74.66892101,-86.55139132,-86.65664314,0
-71.23673968,-76.70902083,-83.21674615,-75.00585029,-86.53153205,-86.70120053,0
-71.29925667,-75.3045995,-83.67306577,-73.77631437,-86.62823753,-86.60901076,1
-71.50815795,-74.0454263,-83.63078582,-73.91893763,-86.57947436,-86.64649467,0
-71.92205144,-72.87557081,-83.47805859,-73.95298858,-86.52487047,-86.62944134,0
-86.6573068,-86.85149495,-86.85638877,-86.46263163,-86.81608743,-86.83481277,0
-86.63786581,-86.73898744,-86.94163885,-86.48304941,-86.81845538,-86.81850497,0
-86.61959658,-86.66751552,-86.92055816,-86.25693562,-86.5276028,-86.83679201,0
-86.55563273,-86.72422534,-86.82528471,-86.44243947,-86.72497425,-86.81790984,0
-86.52073213,-86.67474409,-86.95258028,-86.45084842,-86.80733629,-86.83506542,0
-86.1600723,-86.73641133,-86.81170294,-86.46179895,-86.71384776,-86.9350751,0
