Folder,File,f0_idx,H1_idx,H2_idx,H3_idx,f0_dB,H1_dB,H2_dB,H3_dB,U1_idx,U2_idx,U3_idx,U1_dB,U2_dB,U3_dB,U1_BB_dB,U2_BB_dB,U3_BB_dB,H1_exceeds,H2_exceeds,H3_exceeds,U1_exceeds,U2_exceeds,U3_exceeds,Unsafe_1s,Unsafe_2s,Unsafe_3s,Target_BB_std,Ambient_BB_std
1m_x_01,1m_x_01_38.mat,13108,26215,39323,52430,-39.7212943995125,-79.2454267006601,-85.4921164602803,-86.83655741685,19704,33061,45760,-84.7310400104629,-86.6812939315861,-86.9115529889312,-119.099103190607,-119.737739670832,-119.94512488247,1,1,1,1,0,0,0,0,0,6.98838345043791e-05,6.69357679016559e-05
1m_x_01,1m_x_01_40.mat,13108,26215,39323,52430,-39.4427744502047,-78.8793952374785,-84.9422263181826,-86.7933717033581,19726,32851,45284,-85.1711756202691,-86.7173283477887,-86.9230592790156,-119.114068860203,-119.656424030109,-119.894328264764,1,1,1,0,0,0,0,0,0,6.9844812273031e-05,6.66231397946745e-05
1m_x_01,1m_x_01_42.mat,13108,26215,39323,52430,-38.9762284462204,-78.1972425547338,-84.355750223088,-86.7677805457571,19708,33404,46460,-84.6561607642354,-86.8435341787151,-87.0094912442989,-118.771882918567,-119.749039130704,-119.981837779264,1,1,1,1,0,0,0,0,0,7.26598349936419e-05,6.64700336521868e-05
1m_x_01,1m_x_01_44.mat,13108,26215,39323,52430,-38.6760610713166,-77.2796718432105,-83.8391660818821,-86.7587804638822,19794,31995,45133,-84.4340788662948,-86.7957014753937,-86.8059305558839,-118.664165340056,-119.708496517658,-119.877167901891,1,1,1,1,0,0,0,0,0,7.3079974815093e-05,6.70250995162785e-05
1m_x_01,1m_x_01_46.mat,13108,26215,39323,52430,-38.3063994568518,-77.1381921790645,-83.2800097119877,-86.7098545543595,18824,31995,45733,-82.5485077302121,-86.8428908619421,-86.7637182453181,-118.629607271036,-119.732401104019,-119.940899140649,1,1,1,0,0,0,0,0,0,7.05541458746125e-05,6.74338921707741e-05
1m_x_01,1m_x_01_48.mat,13108,26215,39323,52430,-37.9370141278603,-77.3015181217382,-82.4129301438627,-86.7096502215011,19695,33589,46005,-84.6537235963161,-86.8632326354534,-87.0168229810855,-118.776887139961,-119.779273925495,-120.013302473448,1,1,1,0,0,0,0,0,0,7.31492473154192e-05,6.66888356272686e-05
1m_x_01,1m_x_01_50.mat,13108,26215,39323,52430,-37.5936598553847,-76.6234855373249,-81.3664143850702,-86.7707723441078,19684,33274,44906,-83.5896667354767,-86.7365432351238,-87.0022458478921,-118.533056114959,-119.670213421494,-119.947511200914,1,1,1,1,0,0,0,0,0,7.3655480007456e-05,6.64624925621266e-05
1m_x_01,1m_x_01_52.mat,13108,26215,39323,52430,-37.2547980755984,-75.2238602475482,-80.2767496731842,-86.0692583762464,20334,33404,45611,-81.6104430726471,-86.8854542987079,-86.8796583291801,-117.428446162758,-119.624900731535,-119.936348045383,1,1,1,1,0,0,0,0,0,8.32096192309346e-05,6.73646283206912e-05
1m_x_01,1m_x_01_54.mat,13108,26215,39323,52430,-37.0453875483506,-72.6369255000535,-79.2640197194403,-84.8872422782141,18810,33561,46164,-77.7129796457797,-86.7443638775953,-86.7918244371766,-113.601478395832,-119.552870244766,-119.806304536303,1,1,1,1,0,0,0,0,0,0.00010753179070704,6.69162682645125e-05
1m_x_01,1m_x_01_56.mat,13108,26215,39323,52430,-36.9293363496924,-73.6820798718644,-78.1245329483174,-85.7186614156247,19722,31997,45286,-77.2951883676374,-86.7267238846972,-86.7660491042828,-114.705459775178,-119.587091290958,-119.910583319155,1,1,1,1,0,0,0,0,0,9.65082724807543e-05,6.74002510471771e-05
1m_x_01,1m_x_01_58.mat,13108,26215,39323,52430,-36.6468009795784,-73.7106092180885,-76.8819195352367,-85.6184731509973,19726,33108,46183,-79.6985285796057,-86.743109113391,-86.8222388965461,-116.202372688312,-119.496739077186,-119.852830403989,1,1,1,1,0,0,0,0,0,8.8933390725312e-05,6.67885183839925e-05
1m_x_01,1m_x_01_60.mat,13108,26215,39323,52430,-36.2881995619233,-75.3788361446958,-75.640073545151,-85.8364922106306,19702,31836,45661,-80.6235808571001,-86.7239622760161,-86.8424969939959,-117.024377827514,-119.507961741356,-119.927376362729,1,1,1,1,0,0,0,0,0,8.29940425922992e-05,6.75483487843225e-05
1m_x_01,1m_x_01_62.mat,13108,26215,39323,52430,-36.1128711003423,-73.4530069940264,-74.362995100823,-85.0750082818766,19715,32425,45724,-77.4371382749508,-86.6655671694159,-86.8063354504451,-115.086145406012,-119.469108227077,-119.815958946516,1,1,1,1,0,0,0,0,0,9.52965879293212e-05,6.6932225357717e-05
1m_x_01,1m_x_01_64.mat,13108,26215,39323,52430,-35.9210326829402,-73.8578017775052,-73.1053534174688,-85.2171776576606,19744,33694,46535,-78.7645263510302,-86.6883803979046,-86.8714820574333,-115.985444452155,-119.341759214212,-119.839824179226,1,1,1,1,0,0,0,0,0,9.25343382813761e-05,6.79856691424273e-05
1m_x_02,1m_x_02_02.mat,13108,26215,39323,52430,-65.8403095828535,-86.6576194545149,-86.7229772871194,-86.846329051009,19939,33759,45365,-86.5521794542802,-86.7186259658362,-86.867794178876,-119.686526838991,-119.723814522046,-119.926829529652,1,1,1,0,0,0,0,0,0,6.64573502850354e-05,6.67342966648084e-05
1m_x_02,1m_x_02_04.mat,13108,26215,39323,52430,-59.481778148786,-86.569797676599,-86.6783137538865,-86.8723037322408,20243,33735,45484,-86.568212077625,-86.7374102870522,-86.7584851251991,-119.57574154581,-119.685292522476,-119.859936932475,1,1,1,0,0,0,0,0,0,6.70230534248902e-05,6.66370829356995e-05
1m_x_02,1m_x_02_06.mat,13108,26215,39323,52430,-56.0248165969943,-86.6750149573655,-86.8173036766515,-86.8446849278212,20553,32907,46827,-86.7368498223711,-86.8457450244881,-86.8184002166311,-119.738073909436,-119.866265602387,-119.895263997817,1,1,1,0,0,0,0,0,0,6.61640339316261e-05,6.6643245118445e-05
